Mass,EM0011_sample,EM0013_sample,EM0015_sample,EM0017_sample,EM0019_sample,EM0061_sample,EM0063_sample,EM0065_sample,EM0067_sample,EM0069_sample,EW0111_sample,EW0113_sample,EW0115_sample,EW0117_sample,EW0119_sample,EW0161_sample,EW0163_sample,EW0165_sample,EW0167_sample,EW0169_sample,C,H,O,N,C13,S,P,Na,Error,El_comp,Class,NeutralMass,Candidates
98.49237751,0,0,0,0,0,1197973.8,0,0,0,2535836,0,0,3636046.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,99.49965396,0
98.832115,0,13070372,0,16120890,21228496,0,12305626,10984102,0,38329628,0,8070914.5,0,3965229.5,0,0,0,0,1598118.5,0,0,0,0,0,0,0,0,0,0,,None,99.83939145,0
98.83218995,5524739,0,23999328,0,0,30656158,0,0,12664590,0,21416774,0,38608164,0,2439325.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,99.8394664,0
101.705998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16443347,0,0,0,0,0,0,0,0,0,0,0,,None,102.7132745,0
103.3467416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153547.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,104.354018,0
103.7229671,0,0,0,0,0,0,0,0,0,0,1309967.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,104.7302435,0
103.7240411,0,0,0,0,0,0,0,0,0,0,2793363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,104.7313175,0
103.7262011,0,0,0,0,0,0,0,0,0,0,1233039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,104.7334775,0
104.4228399,0,0,0,0,0,0,1045767.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,105.4301163,0
104.4621143,0,0,0,0,0,0,0,0,0,0,0,0,1036980.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,105.4693907,0
104.5716383,0,0,0,0,0,0,0,0,0,0,0,0,0,1030564.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,105.5789148,0
104.6615809,0,0,0,0,0,0,0,0,0,0,0,0,0,1071321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,105.6688573,0
105.0380887,0,0,0,0,0,0,0,0,0,0,1110676.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.0453652,0
105.0859444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054092.1,0,0,0,0,0,0,0,0,0,0,,None,106.0932208,0
105.1248804,0,1031124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.1321568,0
105.13691,0,0,0,0,0,0,0,0,0,0,0,1126688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.1441865,0
105.1488313,0,0,0,0,0,1053970.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.1561077,0
105.1978179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039785,0,0,0,0,0,0,0,0,0,0,,None,106.2050943,0
105.2041545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089316.8,0,0,0,0,0,0,0,0,0,,None,106.211431,0
105.2370689,0,0,0,0,0,0,0,0,0,0,1242953.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.2443454,0
105.3411434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038994.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.3484199,0
105.6862941,1085680.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.6935705,0
105.7509448,1053194.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.7582213,0
105.8049832,0,1094181.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.8122597,0
105.8369078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031195.2,0,0,0,0,0,0,0,0,0,0,,None,106.8441843,0
105.9335835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034294.1,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.9408599,0
105.9484856,0,0,0,0,1035153.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,106.955762,0
106.0322264,0,0,0,0,0,0,0,0,0,0,0,0,0,1125272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,107.0395028,0
106.085962,0,0,0,1056191.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,107.0932385,0
106.1020258,0,1047934.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,107.1093023,0
